Agregat_Budget;Code_Sage;Libelle_SAGE;;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Budget_2024_cloture
Impôts et taxes;6654000T;DROIT D'ENREGISTTREMENT ;;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-60000.0
;;Impôts et taxes;;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-150000.0
Fonctionnement courant;6061000T;Eau, électricité ... ;;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-24000.0
Fonctionnement courant;6061100T;Electricité ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Fonctionnement courant;6062000T;ACHAT PRODUITS  DENTRETIEN ;;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-18000.0
Fonctionnement courant;6063000T;Fournitures Entretien, petit équip. ;;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-120000.0
Fonctionnement courant;6064000T;Fournitures administratives ;;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-120000.0
Fonctionnement courant;6065000T;ESSENCE ;;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-96000.0
Fonctionnement courant;6069000T;CONSOMMABLE ;;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-12000.0
Fonctionnement courant;6130000T;LOYER ZAGHOUEN ;;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-63162.604166666664;-757951.2499999999
Fonctionnement courant;6130003T;LOCATION VOITURE ;;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-54000.0
Fonctionnement courant;6150000T;Entretien et réparations ;;-1500.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-23500.0
Fonctionnement courant;6150001T;Entretien ;;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-6000.0
Fonctionnement courant;6154000T;Entretien locaux ;;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-6000.0
Fonctionnement courant;6155100T;Entretien matériel de transport ;;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-12000.0
Fonctionnement courant;6160000T;Primes d'assurance ;;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-96000.0
Fonctionnement courant;6170000T;Etudes et recherche ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Fonctionnement courant;6260000T;Frais postaux et télécom. ;;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-6149.0;-7000.0;-7000.0;-7000.0;-7000.0;-83149.0
Fonctionnement courant;6260001T;FRAIS POSTAUX ;;-900.0;-900.0;-900.0;-900.0;-900.0;-900.0;-900.0;-900.0;-900.0;-900.0;-900.0;-900.0;-10800.0
Fonctionnement courant;6260003T;FRAIS DE TELECOM ORANGE ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
