Agregat_Budget;Code_Sage;Libelle_SAGE;;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Budget_2025_cloture;;Forecast_8_4;;Ecart_Valeur 
;;Autres Charges;;-2234.2799999999997;-3274.45;-3052.147;-188054.14;-15172.887;-750.003;-3638.606;-408.606;-9333.332999999999;-9383.332999999999;-9383.332999999999;-9383.332999999999;-254068.45099999994;;-254068.45099999994;;0.0
;;Total Charges Courantes;;-1139062.831;-697973.627;-845100.8760000002;-1892557.065;-860219.0740000001;-728386.046;-1253058.5729999999;-1003338.2190000002;-1178709.583;-1181767.6830000002;-1172463.583;-1081825.4220000003;-13034462.582000002;;;;
;;EBITDA;;1288309.3150000002;605972.015;726975.4819999998;1013603.9130000002;-108277.0390000001;-572930.19;1356178.722;132973.9469999998;-963709.5830000001;1325320.3169999998;829536.4169999999;1273475.8409999995;6907429.156999998;;;;
;;en % de CA;;0.5307423985740999;0.46472183769145187;0.46243013470723526;0.3487776212925257;-0.14399652361501522;-3.685484771959957;0.519760592338153;0.11702237376203523;-4.482370153488373;0.528629356847466;0.41435385464535457;0.5406849055810147;0.34637782851319276;;0.0;;0.0
;;;;;;;;;;;;;;;;;;;;
;;Produits Financiers;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
;xxxxxxxT;PERTE DE CHANGE ;;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-12000.0;;0.0;;-12000.0
Charges Financières;6500000T;Charge Financière ;;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-12000.0;;-59947.093;;47947.093
;;Charges Financières;;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-24000.0;;-59947.093;;35947.093
;;Résultat Financier;;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-24000.0;;-59947.093;;35947.093
Dotations Amortissements & Provisions;6811100T;Dot/amort. immob. incoporelles ;;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-96000.0;;-142366.424;;46366.424
Dotations Amortissements & Provisions;6811210T;DOT MATERIEL TRANSPORT ;;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-11038.107;-132457.284;;-105984.82700000002;;-26472.456999999995
Dotations Amortissements & Provisions;6811220T;DOT MATERIEL INFORMATIQUE ;;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-180000.0;;-127135.48700000001;;-52864.51299999999
Dotations Amortissements & Provisions;6811230T;DOT A A I ;;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-40000.0;-480000.0;;-311613.85;;-168386.15000000002
Dotations Amortissements & Provisions;6811240T;DOT EQUIP DE BURAU ;;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-11000.0;-132000.0;;-78906.84700000001;;-53093.15299999999
;;Dotations Amortissements & Provisions;;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-1020457.2839999999;;-766007.435;;-254449.8489999998
;;Total D&A;;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-85038.107;-1020457.2839999999;;-766007.435;;-254449.8489999998
;;;;;;;;;;;;;;;;;;;;
;;Produits Exceptionnels;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
Charges exceptionnelles;6720000T;Charges /exercices antérieurs ;;;;;;;;;;;;;;0.0;;0.0;;0.0
;;Charges Exceptionnelles;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
;;Résultat Exceptionnel;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
;;Profit avant Impôt sur les Sociétés;;1201271.208;518933.908;639937.3749999999;926565.8060000002;-195315.14600000012;-659968.2969999999;1269140.615;45935.83999999981;-1050747.6900000002;1238282.2099999997;742498.3099999999;1186437.7339999995;5862971.872999998;;;;
Impôt sur les sociétés;6910000T;IMPOT SUR LES SOCIETE ;;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-1348483.56;;-1485528.2280000001;;137044.66800000006
;;Impôt sur les sociétés;;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-112373.63;-1348483.56;;-1485528.2280000001;;137044.66800000006
;;RÉSULTAT NET;;1088897.5780000002;406560.278;527563.7449999999;814192.1760000002;-307688.7760000001;-772341.9269999999;1156766.9849999999;-66437.7900000002;-1163121.3200000003;1125908.5799999996;630124.6799999999;1074064.1039999994;4514488.312999997;;;;
